 Block Treatment CSH tall patches SSH PlantSpR PlantE Grasses Forbs Legumes Openness NectarN Thistles HN HE Patchiness Bimodality Year
A1_2010 A 1 5.35 5.15 4.42 11.4 73.68 57.55 18.55 10.55 7.37 14.5 28 5 0.39 5 0 2010
A2_2010 A 2 9.47 67.3 12.91 8.25 72.63 74.45 7.2 4.35 3.31 9 17 6 0.62 15 1 2010
A3_2010 A 3 10.52 75.95 15.83 8.2 67.55 72.15 7.05 3.55 2.52 13.5 1 7 0.65 5 0 2010
B1_2010 B 1 5.84 12.85 4.97 10.4 77.15 56.35 20.4 9.5 8.13 13.5 31 3 0.33 6 0 2010
B2_2010 B 2 8.33 58.7 18.31 10.85 72.10 53.9 24.65 7.45 5.83 14 28 7 0.78 11 1 2010
B3_2010 B 3 12.48 77.1 18.08 10.3 76.83 59.45 17.95 5.15 5.02 17.5 5 7 0.87 9 1 2010
C1_2010 C 1 6.91 26.5 10.48 9.1 71.90 71.25 7.75 10.25 6.34 11 1 8 0.87 7 0 2010
C2_2010 C 2 9.43 57.45 11.68 10.9 69.58 63.9 22.05 3.25 3.85 18 7 8 0.79 14 1 2010
C3_2010 C 3 11.81 73 28.06 10.6 71.16 48.45 21.45 2.2 3.06 18 5 8 0.81 11 1 2010
A1_2011 A 1 6.34 5.15 4.42 12.45 72.47 69.75 14.9 5.7 2.89 15 3 3 0.30 5 0 2011
A2_2011 A 2 10.70 67.3 12.91 9.4 68.59 85.5 7.05 3.95 4.58 9.5 1 5 0.60 15 1 2011
A3_2011 A 3 12.15 75.95 15.83 8.45 65.99 79.55 7.15 1.3 6.18 14.5 0 5 0.65 5 0 2011
B1_2011 B 1 5.54 12.85 4.97 10.5 73.31 56.85 30.25 3.25 4.33 16 3 4 0.38 6 0 2011
B2_2011 B 2 10.12 58.7 17.18 11.1 77.58 53.05 27.05 10.4 3.91 15.5 26 8 0.86 11 1 2011
B3_2011 B 3 11.79 77.1 18.08 9.9 78.77 65.85 20.9 3.75 3.43 15.5 2 8 0.89 9 1 2011
C1_2011 C 1 7.04 26.5 10.48 9.6 70.65 74.25 9.4 8.35 7.94 9 0 8 0.73 7 0 2011
C2_2011 C 2 9.50 57.45 11.68 11.3 76.51 59.95 25.25 4.8 2.99 19 18 6 0.77 14 1 2011
C3_2011 C 3 11.45 73 28.06 12.15 70.92 59.5 27.5 2.6 3.28 17.5 16 6 0.67 11 1 2011
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
                  
