  A_h A_p A_u C_sp C_a C_b C_c C_h C_m Co_p Ch_p G_r I_i M_g M_j M_r N_c O_v P_i P_m P_s P_t T_c T_s T_v V_a V_c
A1_2010 0.3 0.3 5.3 0.0 4.0 0.0 0.0 0.0 0.0 0.3 0.0 0.0 0.7 0.0 5.0 0.0 0.0 0.0 4.7 0.0 2.3 0.0 0.0 0.3 0.0 0.3 0.0
A2_2010 0.3 0.0 2.3 0.3 23.7 0.7 0.0 0.7 14.0 1.7 0.7 0.7 0.0 3.3 5.7 0.7 0.0 0.7 4.0 0.3 1.3 0.0 0.0 4.3 0.0 1.3 0.0
A3_2010 3.3 0.0 2.0 0.3 19.7 2.0 0.0 0.3 10.0 1.7 0.0 0.0 0.0 1.7 7.3 0.3 0.0 0.0 2.7 0.0 4.0 0.0 0.0 5.3 0.0 0.0 0.0
B1_2010 0.0 0.0 2.7 0.3 7.0 0.0 0.0 0.0 2.7 1.3 0.7 0.0 0.0 1.0 8.0 0.3 0.0 0.0 7.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0
B2_2010 0.3 0.7 2.0 0.3 19.0 0.0 0.3 0.0 23.7 1.0 2.3 0.7 0.0 3.7 10.3 1.7 0.0 0.0 9.7 0.0 2.3 0.0 0.3 6.3 0.0 0.3 0.3
B3_2010 4.7 0.3 1.3 0.7 24.7 6.0 0.0 0.0 20.7 1.7 1.7 0.3 0.0 6.0 10.7 5.0 0.3 0.7 5.7 0.0 2.0 0.0 0.0 7.3 0.0 0.0 0.0
C1_2010 0.3 0.0 0.7 0.3 17.7 0.0 0.0 0.0 6.7 0.0 0.0 0.0 0.0 0.3 7.3 0.0 0.0 0.0 7.0 0.0 0.7 0.0 0.0 1.3 0.0 0.0 0.0
C2_2010 1.3 0.0 2.3 1.0 19.7 4.0 0.0 0.3 16.3 2.7 5.0 0.0 0.0 2.0 6.3 0.3 0.0 0.3 10.0 0.0 0.7 0.0 0.0 2.3 0.0 0.0 0.0
C3_2010 0.7 0.0 3.0 1.0 16.7 2.3 0.3 0.0 17.0 0.3 3.7 0.0 0.0 1.3 6.0 1.0 0.0 0.0 15.7 0.0 2.0 0.0 0.0 4.0 0.3 0.0 0.0
A1_2011 0.3 0.0 3.5 0.0 10.3 0.7 0.0 0.0 0.0 0.3 0.0 0.0 0.0 0.8 0.7 0.0 0.0 0.0 0.0 0.0 3.5 0.0 0.0 0.0 0.0 0.0 0.0
A2_2011 0.3 0.0 1.5 1.0 51.3 0.3 0.0 0.3 17.0 1.2 0.7 0.0 1.0 1.3 1.8 1.3 0.0 1.7 0.0 0.0 3.5 0.0 0.0 0.0 0.0 0.0 0.0
A3_2011 0.8 0.0 1.8 0.0 30.3 2.3 0.0 0.0 9.7 1.3 1.0 0.0 0.0 2.2 2.3 2.3 0.0 1.3 0.0 0.0 1.2 0.0 0.0 0.0 0.0 0.0 0.0
B1_2011 0.0 0.0 0.3 0.0 18.3 1.3 0.0 0.5 1.0 0.0 0.7 0.3 0.0 0.3 4.7 1.0 0.0 0.0 0.0 0.0 2.3 0.0 0.0 0.3 0.0 1.0 0.0
B2_2011 0.7 1.5 2.0 0.3 55.0 0.7 0.0 0.0 20.7 1.0 1.0 0.0 0.0 2.0 10.5 6.7 0.0 0.7 1.0 0.0 1.5 0.0 0.0 0.7 0.0 0.0 0.5
B3_2011 0.5 0.5 2.0 1.0 77.0 5.0 0.0 0.0 20.7 0.8 5.3 0.0 0.0 3.8 5.5 1.3 0.0 0.7 2.7 0.0 2.2 0.0 0.3 0.0 0.0 0.0 0.0
C1_2011 0.0 0.0 0.5 0.0 21.0 0.3 0.0 0.0 2.7 0.5 0.0 0.0 0.0 1.7 3.0 0.3 0.0 0.0 0.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
C2_2011 0.5 0.5 2.3 0.3 32.7 3.7 0.0 0.0 18.0 0.7 5.7 0.0 0.0 3.8 8.3 0.7 0.0 0.3 3.2 0.0 2.8 0.5 0.0 0.7 0.0 0.5 0.0
C3_2011 0.8 0.0 5.0 0.3 33.0 2.0 0.0 0.0 21.0 1.0 3.7 0.0 0.0 1.3 7.0 0.3 0.0 0.3 2.0 0.0 1.8 0.0 0.0 1.7 0.0 0.0 0.5
